"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
84,"4.90%","2.04%","0.61%","0.79%","0.87%","0.53%","0.60%","1.08%","1.26%","0.86%","0.27%","-0.01%"
85,"4.87%","1.99%","0.53%","0.70%","0.78%","0.45%","0.54%","1.04%","1.29%","0.99%","0.52%","0.33%"
86,"4.84%","1.96%","0.49%","0.63%","0.69%","0.36%","0.46%","0.98%","1.26%","1.02%","0.64%","0.54%"
87,"4.75%","1.93%","0.48%","0.60%","0.62%","0.26%","0.36%","0.89%","1.19%","0.98%","0.65%","0.61%"
88,"4.61%","1.88%","0.49%","0.60%","0.58%","0.19%","0.27%","0.80%","1.11%","0.92%","0.60%","0.57%"
89,"4.44%","1.80%","0.48%","0.62%","0.59%","0.16%","0.20%","0.71%","1.02%","0.83%","0.53%","0.51%"
90,"4.30%","1.73%","0.47%","0.64%","0.61%","0.17%","0.17%","0.64%","0.93%","0.74%","0.45%","0.43%"
91,"4.23%","1.70%","0.46%","0.65%","0.64%","0.19%","0.17%","0.61%","0.86%","0.65%","0.35%","0.35%"
92,"4.23%","1.70%","0.46%","0.65%","0.65%","0.22%","0.20%","0.61%","0.82%","0.57%","0.25%","0.24%"
93,"4.26%","1.74%","0.49%","0.66%","0.65%","0.23%","0.22%","0.64%","0.83%","0.54%","0.18%","0.14%"
94,"4.29%","1.79%","0.54%","0.69%","0.66%","0.23%","0.23%","0.66%","0.86%","0.55%","0.15%","0.08%"
95,"4.31%","1.83%","0.60%","0.74%","0.69%","0.24%","0.23%","0.67%","0.88%","0.57%","0.16%","0.06%"
96,"4.30%","1.86%","0.65%","0.80%","0.74%","0.26%","0.24%","0.67%","0.88%","0.58%","0.17%","0.08%"
97,"4.28%","1.88%","0.69%","0.86%","0.81%","0.31%","0.26%","0.69%","0.88%","0.57%","0.17%","0.09%"
98,"4.23%","1.89%","0.72%","0.90%","0.88%","0.37%","0.31%","0.73%","0.88%","0.52%","0.11%","0.04%"
99,"4.15%","1.88%","0.73%","0.92%","0.93%","0.43%","0.36%","0.79%","0.89%","0.47%","0.01%","-0.07%"
100,"4.06%","1.86%","0.73%","0.94%","0.98%","0.47%","0.41%","0.87%","0.92%","0.41%","-0.12%","-0.24%"
