"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
80,"-8.1%","-6.7%","-2.9%","-0.8%","-2.2%","-4.7%","-4.2%","-1.7%","-2.7%","-4.0%","-4.3%","-1.0%"
81,"-10.7%","-8.2%","-3.6%","-1.0%","-2.2%","-4.5%","-3.9%","-1.5%","-2.5%","-3.8%","-4.2%","-1.0%"
82,"-13.0%","-9.7%","-4.4%","-1.4%","-2.3%","-4.4%","-3.7%","-1.2%","-2.2%","-3.6%","-4.0%","-1.0%"
83,"-14.1%","-10.4%","-4.9%","-2.0%","-2.6%","-4.5%","-3.6%","-1.0%","-2.0%","-3.4%","-3.8%","-1.0%"
84,"-13.9%","-10.4%","-5.1%","-2.4%","-3.1%","-4.9%","-3.8%","-0.9%","-1.9%","-3.1%","-3.7%","-1.0%"
85,"-12.4%","-9.6%","-4.9%","-2.6%","-3.6%","-5.4%","-4.2%","-1.1%","-1.8%","-3.0%","-3.5%","-1.0%"
86,"-10.1%","-8.5%","-4.7%","-2.6%","-3.8%","-5.9%","-4.7%","-1.5%","-2.0%","-3.0%","-3.4%","-1.0%"
87,"-7.5%","-7.5%","-4.6%","-2.7%","-3.9%","-6.2%","-5.2%","-2.0%","-2.3%","-3.1%","-3.4%","-1.0%"
88,"-5.7%","-7.1%","-4.9%","-3.0%","-4.0%","-6.2%","-5.4%","-2.4%","-2.7%","-3.4%","-3.5%","-1.0%"
89,"-5.2%","-7.4%","-5.6%","-3.6%","-4.3%","-6.2%","-5.3%","-2.5%","-2.9%","-3.6%","-3.7%","-1.0%"
90,"-6.1%","-8.3%","-6.4%","-4.3%","-4.7%","-6.1%","-5.0%","-2.3%","-2.9%","-3.7%","-3.8%","-1.0%"
91,"-7.7%","-9.2%","-7.0%","-4.8%","-5.0%","-6.1%","-4.7%","-1.8%","-2.5%","-3.5%","-3.7%","-1.0%"
92,"-8.6%","-9.4%","-7.0%","-4.8%","-4.9%","-5.8%","-4.3%","-1.4%","-2.0%","-2.9%","-3.2%","-1.0%"
93,"-8.1%","-8.5%","-6.2%","-4.3%","-4.3%","-5.0%","-3.7%","-1.1%","-1.4%","-2.1%","-2.6%","-1.0%"
94,"-6.5%","-6.8%","-4.9%","-3.4%","-3.4%","-3.9%","-3.0%","-0.8%","-0.8%","-1.3%","-1.8%","-1.0%"
95,"-4.3%","-4.6%","-3.4%","-2.4%","-2.3%","-2.7%","-2.1%","-0.5%","-0.4%","-0.7%","-1.2%","-1.0%"
96,"-2.3%","-2.7%","-2.1%","-1.4%","-1.4%","-1.6%","-1.3%","-0.3%","-0.2%","-0.4%","-0.7%","-1.0%"
